,crime_type,date,address
235,Burglary,2018-03-16 00:00:00,113-0 86TH AVE
236,Burglary,2018-03-16 00:00:00,279-299 DR MARTIN LUTHER KING JR BLVD
237,Burglary,2018-03-16 00:00:00,2100 BLOCK OF NEW YORK AVE
238,Burglary,2018-03-16 00:00:00,2100 BLOCK OF FREDERICK DOUGLASS BLVD
239,Burglary,2018-03-16 00:00:00,400 BLOCK OF E 173RD ST
240,Burglary,2018-03-16 00:00:00,175-30 50TH AVE
241,Burglary,2018-03-16 00:00:00,600 BLOCK OF E 96TH ST
242,Burglary,2018-03-16 00:00:00,1004-1012 3RD AVE
243,Burglary,2018-03-16 00:00:00,
244,Burglary,2018-03-16 00:00:00,200 BLOCK OF TOMPKINS AVE
245,Burglary,2018-03-16 00:00:00,6419-6499 15TH AVE
246,Burglary,2018-03-16 00:00:00,700 BLOCK OF OCEAN AVE
247,Burglary,2018-03-16 00:00:00,
248,Burglary,2018-03-16 00:00:00,500 BLOCK OF ST NICHOLAS AVE
249,Burglary,2018-03-16 00:00:00,
250,Burglary,2018-03-16 00:00:00,3500 BLOCK OF US-1
251,Burglary,2018-03-16 00:00:00,300 BLOCK OF POWELL ST
252,Burglary,2018-03-16 00:00:00,100 BLOCK OF COURT ST
253,Burglary,2018-03-16 00:00:00,7400 BLOCK OF 3RD AVE
254,Burglary,2018-03-16 00:00:00,10100 BLOCK OF AVENUE J
255,Burglary,2018-03-15 00:00:00,200 BLOCK OF W 231ST ST
256,Burglary,2018-03-15 00:00:00,1600 BLOCK OF ANTHONY AVE
257,Burglary,2018-03-15 00:00:00,72-0 181ST ST
258,Burglary,2018-03-15 00:00:00,
259,Burglary,2018-03-15 00:00:00,00 BLOCK OF E 2ND ST
260,Burglary,2018-03-15 00:00:00,91-11 191ST ST
261,Burglary,2018-03-15 00:00:00,600 BLOCK OF WESTCHESTER AVE
262,Burglary,2018-03-15 00:00:00,400 BLOCK OF 8TH AVE
263,Burglary,2018-03-15 00:00:00,1100 BLOCK OF MORRIS AVE
264,Burglary,2018-03-15 00:00:00,3368-3398 WHITE PLAINS RD
265,Burglary,2018-03-15 00:00:00,400 BLOCK OF W 14TH ST
266,Burglary,2018-03-15 00:00:00,2100 BLOCK OF ALBEMARLE RD
267,Burglary,2018-03-15 00:00:00,500 BLOCK OF MARCY AVE
268,Burglary,2018-03-15 00:00:00,132-60 FARMERS BLVD
269,Burglary,2018-03-15 00:00:00,2900 BLOCK OF WATERBURY AVE
270,Burglary,2018-03-15 00:00:00,
271,Burglary,2018-03-15 00:00:00,8600 BLOCK OF 144TH ST
272,Burglary,2018-03-15 00:00:00,
273,Burglary,2018-03-15 00:00:00,200 BLOCK OF NEW LOTS AVE
274,Burglary,2018-03-14 00:00:00,
275,Burglary,2018-03-14 00:00:00,
276,Burglary,2018-03-14 00:00:00,132-8 POPLE AVE
277,Burglary,2018-03-14 00:00:00,253-1-253-11 BRATTLE AVE
278,Burglary,2018-03-14 00:00:00,100 BLOCK OF AVENUE A
279,Burglary,2018-03-14 00:00:00,200 BLOCK OF MANHATTAN AVE
280,Burglary,2018-03-14 00:00:00,426-454 REMSEN AVE
281,Burglary,2018-03-14 00:00:00,3100 BLOCK OF FAIRMOUNT AVE
282,Burglary,2018-03-14 00:00:00,
283,Burglary,2018-03-14 00:00:00,59-86 60TH LN
284,Burglary,2018-03-14 00:00:00,00 BLOCK OF NEVINS ST
285,Burglary,2018-03-14 00:00:00,2100 BLOCK OF FLATBUSH AVE
286,Burglary,2018-03-14 00:00:00,670-672 ST ANN'S AVE
287,Burglary,2018-03-14 00:00:00,300 BLOCK OF REVERE AVE
288,Burglary,2018-03-14 00:00:00,1376-1398 CROMWELL AVE
289,Burglary,2018-03-14 00:00:00,100 BLOCK OF E 119TH ST
290,Burglary,2018-03-14 00:00:00,170-99 LIBERTY AVE
291,Burglary,2018-03-14 00:00:00,79-1 62ND AVE
292,Burglary,2018-03-14 00:00:00,400 BLOCK OF EVERGREEN AVE
293,Burglary,2018-03-14 00:00:00,00 BLOCK OF FDR DRIVE SERVICE RD E
294,Burglary,2018-03-14 00:00:00,300 BLOCK OF HARMAN ST
295,Burglary,2018-03-14 00:00:00,246-25 136TH AVE
296,Burglary,2018-03-14 00:00:00,
297,Burglary,2018-03-14 00:00:00,6200 BLOCK OF U.S. 9
298,Burglary,2018-03-14 00:00:00,
299,Burglary,2018-03-14 00:00:00,43-99 216TH ST
300,Burglary,2018-03-14 00:00:00,00 BLOCK OF E 20TH ST
301,Burglary,2018-03-14 00:00:00,2400-2414 2ND AVE
302,Burglary,2018-03-14 00:00:00,100 BLOCK OF W 167TH ST
303,Burglary,2018-03-14 00:00:00,E 199TH ST
304,Burglary,2018-03-14 00:00:00,6500 BLOCK OF 7TH AVE
305,Burglary,2018-03-14 00:00:00,56-66 ST PAULS PL
306,Burglary,2018-03-13 00:00:00,100 BLOCK OF NASSAU AVE
307,Burglary,2018-03-13 00:00:00,1200 BLOCK OF ST NICHOLAS AVE
308,Burglary,2018-03-13 00:00:00,1491-1499 MACOMBS RD
309,Burglary,2018-03-13 00:00:00,1500 BLOCK OF AMSTERDAM AVE
310,Burglary,2018-03-13 00:00:00,100 BLOCK OF W 130TH ST
311,Burglary,2018-03-13 00:00:00,
312,Burglary,2018-03-13 00:00:00,500 BLOCK OF E 76TH ST
313,Burglary,2018-03-13 00:00:00,68-70 9TH AVE
314,Burglary,2018-03-13 00:00:00,
315,Burglary,2018-03-13 00:00:00,800 BLOCK OF LAFAYETTE AVE
316,Burglary,2018-03-13 00:00:00,25-56 71ST ST
317,Burglary,2018-03-13 00:00:00,800 BLOCK OF PUTNAM AVE
318,Burglary,2018-03-13 00:00:00,142-99 185TH ST
319,Burglary,2018-03-13 00:00:00,
320,Burglary,2018-03-13 00:00:00,306-310 LEONARD ST
321,Burglary,2018-03-13 00:00:00,5400 BLOCK OF KINGS HWY
322,Burglary,2018-03-13 00:00:00,2000 BLOCK OF 5TH AVE
323,Burglary,2018-03-13 00:00:00,
324,Burglary,2018-03-13 00:00:00,249-0 RUSHMORE TERRACE
325,Burglary,2018-03-13 00:00:00,
326,Burglary,2018-03-13 00:00:00,
327,Burglary,2018-03-13 00:00:00,
328,Burglary,2018-03-13 00:00:00,
329,Burglary,2018-03-13 00:00:00,100 BLOCK OF NORTHFIELD AVE
330,Burglary,2018-03-13 00:00:00,100 BLOCK OF MARTENSE ST
331,Burglary,2018-03-13 00:00:00,300 BLOCK OF PINE ST
332,Burglary,2018-03-13 00:00:00,1206-1222 BEDFORD AVE
333,Burglary,2018-03-13 00:00:00,245-0 NY-27
334,Burglary,2018-03-13 00:00:00,188-1 KEESEVILLE AVE
335,Burglary,2018-03-13 00:00:00,
336,Burglary,2018-03-13 00:00:00,
337,Burglary,2018-03-13 00:00:00,300 BLOCK OF E 29TH ST
338,Burglary,2018-03-13 00:00:00,557-565 UNION AVE
339,Burglary,2018-03-13 00:00:00,360-366 METROPOLITAN AVE
340,Burglary,2018-03-13 00:00:00,246-1-246-23 N CONDUIT AVE
341,Burglary,2018-03-12 00:00:00,200 BLOCK OF E 78TH ST
342,Burglary,2018-03-12 00:00:00,870A PARK AVE
343,Burglary,2018-03-12 00:00:00,00 BLOCK OF BRADDOCK AVE
344,Burglary,2018-03-12 00:00:00,2600 BLOCK OF FREDERICK DOUGLASS BLVD
345,Burglary,2018-03-12 00:00:00,796-838 UNION AVE
346,Burglary,2018-03-12 00:00:00,100 BLOCK OF W 130TH ST
347,Burglary,2018-03-12 00:00:00,200 BLOCK OF W 122ND ST
348,Burglary,2018-03-12 00:00:00,
349,Burglary,2018-03-12 00:00:00,
350,Burglary,2018-03-12 00:00:00,
351,Burglary,2018-03-12 00:00:00,21-30 SHORE BLVD
352,Burglary,2018-03-12 00:00:00,
353,Burglary,2018-03-12 00:00:00,200 BLOCK OF E 78TH ST
354,Burglary,2018-03-12 00:00:00,200 BLOCK OF E 89TH ST
355,Burglary,2018-03-12 00:00:00,
356,Burglary,2018-03-12 00:00:00,200 BLOCK OF HUDSON ST
357,Burglary,2018-03-12 00:00:00,70-2 PARSONS BLVD
358,Burglary,2018-03-12 00:00:00,100 BLOCK OF LEONARD ST
359,Burglary,2018-03-12 00:00:00,196-1 100TH AVE
360,Burglary,2018-03-12 00:00:00,1587-1589 E NEW YORK AVE
361,Burglary,2018-03-12 00:00:00,3500 BLOCK OF CANAL AVE
362,Burglary,2018-03-12 00:00:00,200 BLOCK OF E 182ND ST
363,Burglary,2018-03-12 00:00:00,122-1-122-3 LIBERTY AVE
364,Burglary,2018-03-12 00:00:00,600 BLOCK OF WILSON AVE
365,Burglary,2018-03-12 00:00:00,
366,Burglary,2018-03-12 00:00:00,720-798 W 180TH ST
367,Burglary,2018-03-12 00:00:00,
368,Burglary,2018-03-12 00:00:00,300 BLOCK OF E 148TH ST
369,Burglary,2018-03-12 00:00:00,W 229TH ST
370,Burglary,2018-03-12 00:00:00,
371,Burglary,2018-03-12 00:00:00,00 BLOCK OF HOMER ST
372,Burglary,2018-03-12 00:00:00,300 BLOCK OF W 14TH ST
373,Burglary,2018-03-12 00:00:00,
374,Burglary,2018-03-12 00:00:00,131-80 39TH AVE
375,Burglary,2018-03-12 00:00:00,00 BLOCK OF ST MARKS PL
376,Burglary,2018-03-12 00:00:00,400 BLOCK OF KOSCIUSZKO ST
377,Burglary,2018-03-11 00:00:00,900 BLOCK OF LA 65 DE INFANTERíA
378,Burglary,2018-03-11 00:00:00,100 BLOCK OF BEACH 59TH ST
379,Burglary,2018-03-11 00:00:00,96-20 ROOSEVELT AVE
380,Burglary,2018-03-11 00:00:00,
381,Burglary,2018-03-11 00:00:00,
382,Burglary,2018-03-11 00:00:00,00 BLOCK OF S 10TH ST
383,Burglary,2018-03-11 00:00:00,118-1 91ST AVE
384,Burglary,2018-03-11 00:00:00,
385,Burglary,2018-03-11 00:00:00,
386,Burglary,2018-03-11 00:00:00,00 BLOCK OF GREAT JONES ST
387,Burglary,2018-03-11 00:00:00,5700-5722 80TH ST
388,Burglary,2018-03-11 00:00:00,
389,Burglary,2018-03-11 00:00:00,00 BLOCK OF 7TH AVE
390,Burglary,2018-03-11 00:00:00,00 BLOCK OF 7TH AVE
391,Burglary,2018-03-11 00:00:00,9000 BLOCK OF 193RD ST
392,Burglary,2018-03-11 00:00:00,200 BLOCK OF ALBANY AVE
393,Burglary,2018-03-11 00:00:00,
394,Burglary,2018-03-11 00:00:00,800 BLOCK OF MYRTLE AVE
395,Burglary,2018-03-11 00:00:00,
396,Burglary,2018-03-11 00:00:00,
397,Burglary,2018-03-11 00:00:00,19-99 128TH ST
398,Burglary,2018-03-11 00:00:00,
399,Burglary,2018-03-11 00:00:00,
400,Burglary,2018-03-11 00:00:00,1000 BLOCK OF TINTON AVE
401,Burglary,2018-03-11 00:00:00,600 BLOCK OF ROSEDALE AVE
402,Burglary,2018-03-11 00:00:00,96-20 ROOSEVELT AVE
403,Burglary,2018-03-11 00:00:00,
404,Burglary,2018-03-11 00:00:00,800 BLOCK OF HICKS ST
405,Burglary,2018-03-11 00:00:00,300 BLOCK OF FRANKLIN AVE
406,Burglary,2018-03-11 00:00:00,69-89 MARBLE HILL AVE
407,Burglary,2018-03-11 00:00:00,1158A BROADWAY
408,Burglary,2018-03-11 00:00:00,1810A W 13TH ST
409,Burglary,2018-03-10 00:00:00,1800 BLOCK OF LURTING AVE
410,Burglary,2018-03-10 00:00:00,39-18 63RD ST
411,Burglary,2018-03-10 00:00:00,
412,Burglary,2018-03-10 00:00:00,600 BLOCK OF W 207TH ST
413,Burglary,2018-03-10 00:00:00,1300 BLOCK OF OGDEN AVE
414,Burglary,2018-03-10 00:00:00,1800 BLOCK OF LURTING AVE
